Unnamed: 0
"Пахота зяби под мн тр
(дракула)
По Пу 64/350
Отд 12 64/219"
"21.07

Внесение минеральных удобрений под оз ячмень ПУ Юг 78/640
Отд 12-78/297"
"21.07
Внесение мин удобрений под сах свёклу 2025 г ПУ Юг- 220/1077

Отд 12-118/234
Отд 16-102/653"
"21.07
Внесение мин удобрений под оз рапс ПУ Юг 103/422

Отд 16-103/222"
"2-е диск под оз ячмень
По Пу 35/640
Отд 11 23/242
Отд 12 12/297

2-е диск под сах св
По Пу 54/1119
Отд 12 54/170

2-е диск под оз рапс
По Пу 60/262
Отд 16 60/149

Диск кук силос
По Пу 30/510
Отд 11 30/30

Пахота под мн тр
По Пу 26/412
Отд 17 26/54

Пахота под сах св
По Пу 13/118
Отд 11 13/13

Чизел под оз ячмень
(дракула)
По Пу 39/389
Отд 12 39/258

Прикат мн тр под оз пш
Отд 11 60/60"
"Диск оз пшеницы 
По Пу 19/8646
Отд 17 19/1942

2-е диск под сах св
По Пу 60/1179
Отд 12 60/230

2-е диск под оз рапс
По Пу 102/364
Отд 16 102/251

2-е диск под оз ячмень
По Пу 4/644
Отд 17 4/4

Диск кук силос
По Пу 70/580
Отд 11 70/100

Чизел под оз ячмень
По Пу 67/456
Отд 11 28/28
Отд 12 39/297

Пахота под мн тр
По Пу 2/414
Отд 17 2/56

Пахота под сах св
По Пу 19/137
Отд 11 8/21
Отд 12 11/116

Прикат под оз ячмень
По Пу 179/320
Отд 12 179/219

Прикат мн тр под оз пш
Отд 11 39/99"
"Пахота под сах св
По Пу 40/183
Отд 11 3/24
Отд 12 24/146
Отд 16 13/13

Пахота под мн тр
По Пу 3/417
Отд 17 3/59

Диск оз пшеницы
По Пу 40/8686
Отд 12 40/2542

2-е диск под сах св
По Пу 4/1183
Отд 12 4/234

2-е диск под оз ячмень
По Пу 35/679
Отд 17 35/39

Выкаш отц форм под/г
Отд 12 2/2"
"25.07

Внесение минеральных удобрений под оз ячмень ПУ Юг 69/819
Отд 17-110/179"
"Пахота под сах св
По Пу 58/241
Отд 11 13/37
Отд 12 24/170
Отд 16 21/34

Пахота под мн тр
По Пу 11/428
Отд 17 11/70

Диск оз пшеницы
По Пу 31/8717
Отд 12 31/2573

Диск кук силос
По Пу 26/607
Отд 12 26/138

2-е диск под рапс
По Пу 22/386
Отд 16 22/273

2-е диск под оз ячмень
По Пу 43/722
Отд 17 43/82

Выкаш отц форм под/г
Отд 12 10/12

Чизел под оз ячмень
По Пу 30/457
Отд 11 30/59

Прикат под оз ячмень 
По Пу 78/398
Отд 12 78/297"
"26.07
Внесение мин удобрений под сах свёклу 2025 г ПУ Юг- 80/1157

Отд 12-80/314"
"ПУ «ЮГ» 3.03

Выравнивание зяби под сах св
По ПУ 130/2657
Отделение 11 31/705
Отделение 17 99/687

Выравнивание зяби под подсолнечник
По ПУ 50/599
Отделение 11 50/50

Выравнивание зяби по кук/силос
По ПУ 167/399
Отделение 11 50/73
Отделение 17 117/156

Выравнивание зяби под сою 
По ПУ 45/399
Отделение 16 45/334

Сев овса 
По ПУ 94/99
Отделение 11 94/99 закончили

Прокатывание посевов овса 
По ПУ 94/99
Отделение 94/99 закончили"
"ПУ «ЮГ» 4.03 

Выравнивание зяби под сах св
По ПУ 92/2749
Отделение 17 92/779 

Выравнивание зяби под подсолнечник
По ПУ 125/724
Отделение 11 83/133
Отделение 17 42/42

Выравнивание зяби по кук/силос
По ПУ 86/485
Отделение 11 33/106
